SYMBOL,source,source_id,module,component
UBE2I,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2I,MSIGDB_C2_CP:REACTOME,REACTOME_SUMOYLATION_OF_UBIQUITINYLATION_PROTEINS,UPS,REACTOME
UBE2J1,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2J2,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2J2,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2J2,MSIGDB_C2_CP:REACTOME,REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,UPS,REACTOME
UBE2J2,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2K,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2K,ORGDB_GOALL,GO:0032434,UPS,GO
UBE2K,ORGDB_GOALL,GO:0043161,UPS,GO
UBE2K,ORGDB_GOALL,GO:2000058,UPS,GO
UBE2K,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2K,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2K,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBE2L3,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2L3,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2L3,MSIGDB_C2_CP:REACTOME,REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,UPS,REACTOME
UBE2L3,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2L3,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBE2L5,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2L6,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2L6,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2M,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2N,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2N,ORGDB_GOALL,GO:0043161,UPS,GO
UBE2N,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2N,MSIGDB_C2_CP:REACTOME,REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,UPS,REACTOME
UBE2N,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2O,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2Q1,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2Q2,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2Q2,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2Q2,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBE2R2,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2R2,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2R2,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2R2,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBE2S,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2S,ORGDB_GOALL,GO:0031145,UPS,GO
UBE2S,ORGDB_GOALL,GO:0031146,UPS,GO
UBE2S,ORGDB_GOALL,GO:0043161,UPS,GO
UBE2S,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2S,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2S,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBE2T,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2T,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBE2U,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2U,ORGDB_GOALL,GO:0043161,UPS,GO
UBE2U,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2V1,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
